,NGH_Name,Assault (Non-domestic),Break & Enter,Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic),Latitude,Longitude,Cluster_KMeans
0,01B,0,1,0,1,0,0,51.102826007628,-114.242479654669,1
1,01C,0,1,0,0,0,0,51.0850080532562,-114.235210876796,1
2,01F,0,0,0,1,0,0,51.117348153736,-114.261186466354,1
3,02A,29,5,0,1,1,5,51.16870189010998,-114.22271630894,1
4,02E,11,2,0,2,2,1,51.1614306187998,-114.199362020526,1
5,02K,0,1,0,0,3,0,51.1905272299511,-114.180888626557,1
6,03H,0,3,0,2,0,0,51.179594126024,-113.958660846149,4
7,03I,0,1,0,1,0,0,51.17990722437905,-113.929225928784,4
8,03S,0,0,0,0,2,1,51.1470352355704,-113.916498238129,4
9,03V,1,1,0,0,1,2,51.125199732075,-113.916499487323,4
10,03W,0,2,0,0,0,0,51.197957923816,-114.025378209978,4
11,05C,0,0,0,0,1,0,51.081453566012,-113.916233741504,4
12,06A,0,1,0,0,0,0,51.0588353281103,-114.229520546348,1
13,09H,1,0,0,0,0,0,51.0063658912327,-114.015388136425,6
14,10A,1,3,1,4,1,0,51.05230524898512,-113.893028530152,4
15,10B,1,5,0,0,3,0,51.0233000741679,-113.933856934138,4
16,10C,0,1,0,0,0,0,51.0269548565,-113.888656692677,4
17,12A,0,15,0,5,5,0,50.96505334266402,-113.892919490847,6
18,12B,0,7,0,0,0,0,50.93923156458215,-113.898736862552,6
19,12F,0,1,0,0,0,0,50.874337780779,-113.94069572834,6
20,13B,0,1,0,0,0,0,50.9243904948263,-114.139129478629,6
21,13F,0,1,0,0,0,0,50.899410058047,-114.175050024643,6
22,13G,0,0,0,3,1,0,50.8958227049741,-114.14295937576499,6
23,ABBEYDALE,8,26,1,64,25,3,51.0595201231861,-113.92779391882799,7
24,ACADIA,35,88,3,137,48,8,50.972409209652,-114.053698219636,5
25,ALBERT PARK/RADISSON HEIGHTS,40,120,17,100,76,13,51.04454101383492,-113.996783821473,2
26,ALTADORE,5,100,0,118,26,8,51.01594846688311,-114.100794741538,5
27,ALYTH/BONNYBROOK,3,24,0,19,13,1,51.022859320430136,-114.022482205646,6
28,APPLEWOOD PARK,10,35,3,49,41,2,51.04498177817487,-113.927857644197,7
29,ARBOUR LAKE,8,35,3,65,39,9,51.13263256556296,-114.20757830589602,8
30,ASPEN WOODS,4,44,0,22,7,2,51.04513096885109,-114.207876270297,1
31,AUBURN BAY,3,60,0,80,33,4,50.892666681244066,-113.957878661648,0
32,AURORA BUSINESS PARK,1,0,0,2,0,1,51.1362624322347,-114.058475541526,4
33,BANFF TRAIL,21,57,2,60,23,8,51.0742165994159,-114.115129022304,8
34,BANKVIEW,8,65,4,111,59,5,51.03413124447708,-114.100489190214,5
35,BAYVIEW,0,7,0,7,3,1,50.9746343978019,-114.113962307868,6
36,BEDDINGTON HEIGHTS,12,48,8,96,42,10,51.13164398532202,-114.08491114080502,5
37,BEL-AIRE,0,3,0,3,2,0,50.99944254944497,-114.088941163008,6
38,BELTLINE,234,231,43,506,138,69,51.03743792621703,-114.055188797256,3
39,BONAVISTA DOWNS,0,11,0,6,3,1,50.943697683039,-114.03139999056,6
40,BOWNESS,45,80,6,125,69,15,51.08335944242511,-114.187826026643,5
41,BRAESIDE,12,25,4,41,22,8,50.956000123579024,-114.106353172794,0
42,BRENTWOOD,20,48,6,80,37,7,51.09606620448598,-114.135914500141,8
43,BRIDGELAND/RIVERSIDE,29,110,6,141,63,8,51.050566763066,-114.035072483805,5
44,BRIDLEWOOD,7,26,4,52,32,4,50.8994548566219,-114.109726552484,0
45,BRITANNIA,0,10,0,12,3,0,51.01267454182896,-114.08631487203499,6
46,BURNS INDUSTRIAL,4,22,0,22,19,1,50.998665923067875,-114.039685847784,6
47,CALGARY INTERNATIONAL AIRPORT,14,6,1,45,19,7,51.123559314090976,-114.011718029451,4
48,CAMBRIAN HEIGHTS,0,13,2,11,5,1,51.08433917159991,-114.089378965344,1
49,CANADA OLYMPIC PARK,0,4,0,13,2,1,51.0812414826739,-114.21670517908,1
50,CANYON MEADOWS,7,37,5,52,26,4,50.94096383354691,-114.082182330983,0
51,CAPITOL HILL,12,37,6,72,30,5,51.072661693566,-114.094651621635,8
52,CASTLERIDGE,25,34,3,52,53,6,51.105254134535,-113.961029731958,7
53,CEDARBRAE,3,17,1,34,8,5,50.95714874307313,-114.129616070747,6
54,CHAPARRAL,3,40,0,81,19,6,50.88459996691285,-114.025650000919,0
55,CHARLESWOOD,4,26,0,32,8,1,51.09012581788302,-114.112181903017,1
56,CHINATOWN,15,19,3,38,3,1,51.052826999717915,-114.065520106506,8
57,CHINOOK PARK,3,12,0,12,5,0,50.983246429037884,-114.088993423318,6
58,CHRISTIE PARK,0,6,0,15,3,0,51.040834622699926,-114.175900746383,1
59,CITADEL,5,21,1,30,10,5,51.14453595305296,-114.183916846492,1
60,CITYSCAPE,0,6,0,5,3,0,51.14703155699414,-113.96125803148401,4
61,CLIFF BUNGALOW,15,17,5,41,14,1,51.03393023150101,-114.074894864056,8
62,COACH HILL,1,19,1,27,6,3,51.058345065701985,-114.182930890079,1
63,COLLINGWOOD,1,15,2,24,13,1,51.08350423229792,-114.10240136091302,1
64,COPPERFIELD,5,38,1,91,18,1,50.91779118335091,-113.93142095847,0
65,CORAL SPRINGS,6,14,0,22,15,6,51.103352770689106,-113.926948486479,4
66,COUGAR RIDGE,2,21,0,31,7,1,51.071889436591,-114.209087210747,1
67,COUNTRY HILLS,1,20,3,17,10,2,51.143775683110036,-114.079893774799,4
68,COUNTRY HILLS VILLAGE,13,13,0,23,4,1,51.15820384830409,-114.06139543185,4
69,COVENTRY HILLS,7,56,2,92,40,7,51.164906330331995,-114.053143406974,7
70,CRANSTON,10,38,0,119,25,6,50.878202389902974,-113.979991517887,0
71,CRESCENT HEIGHTS,19,106,6,136,47,9,51.05952142088302,-114.061610268904,5
72,CRESTMONT,0,6,0,10,4,1,51.085043245655065,-114.260485850934,1
73,CURRIE BARRACKS,0,0,0,3,2,0,51.0158510350065,-114.124782275977,6
74,DALHOUSIE,11,31,1,56,27,7,51.109413833961064,-114.158164615208,8
75,DEER RIDGE,7,21,4,42,13,7,50.92657361026197,-114.020233883908,0
76,DEER RUN,1,12,1,26,15,3,50.925406722045,-114.009087704597,6
77,DEERFOOT BUSINESS CENTRE,2,10,1,17,14,1,51.112097754834075,-114.038326942569,4
78,DIAMOND COVE,0,12,0,18,3,1,50.94580508130306,-114.02244384551402,6
79,DISCOVERY RIDGE,2,15,0,22,7,1,51.015499752197,-114.216562668401,1
80,DOUGLASDALE/GLEN,3,55,2,84,30,4,50.948445044984,-114.011903676382,0
81,DOVER,33,68,16,181,75,14,51.02246299008387,-113.99315051036801,2
82,DOWNTOWN COMMERCIAL CORE,206,130,41,317,70,61,51.047270199675,-114.06959221074,3
83,DOWNTOWN EAST VILLAGE,47,16,7,30,3,7,51.04706488496702,-114.05081510146502,8
84,DOWNTOWN WEST END,17,13,9,25,6,6,51.04796931133695,-114.08777972149798,8
85,EAGLE RIDGE,8,1,0,11,0,4,50.988721255607096,-114.096800626489,6
86,EAST FAIRVIEW INDUSTRIAL,6,32,0,30,12,0,50.98407687202898,-114.038601305351,6
87,EAST SHEPARD INDUSTRIAL,4,57,1,31,23,2,50.951244506164926,-113.95086103252801,0
88,EASTFIELD,0,11,0,4,10,0,51.01193851446078,-113.97007289746401,6
89,EAU CLAIRE,10,37,1,48,4,0,51.053606993491904,-114.072820937689,8
90,EDGEMONT,9,40,4,58,16,4,51.12458784624191,-114.14395321027,8
91,ELBOW PARK,0,30,0,33,10,2,51.02136335369598,-114.083835394766,6
92,ELBOYA,5,20,2,21,9,3,51.01299380099388,-114.073620449524,6
93,ERIN WOODS,10,27,3,100,46,7,51.02105117275505,-113.967606589538,7
94,ERLTON,5,18,0,17,2,1,51.02632811531503,-114.063147448083,6
95,EVANSTON,5,31,0,45,23,2,51.17117046989891,-114.112451127993,1
96,EVERGREEN,6,42,1,80,13,5,50.918714393372944,-114.11532492862,0
97,FAIRVIEW,3,56,1,56,16,2,50.98538170700788,-114.060338376198,0
98,FAIRVIEW INDUSTRIAL,5,14,1,18,6,0,50.986923630591036,-114.06882221568999,6
99,FALCONRIDGE,50,60,14,111,71,21,51.103306383785906,-113.945374990249,2
100,FISH CREEK PARK,2,1,1,14,0,0,50.90960459313191,-114.02652359670802,6
101,FOOTHILLS,16,107,0,83,67,6,50.994166065689996,-113.981989023988,5
102,FOREST HEIGHTS,24,43,7,79,45,11,51.04923736963087,-113.968771739973,7
103,FOREST LAWN,72,81,20,92,91,20,51.037847718453996,-113.971230283867,2
104,FOREST LAWN INDUSTRIAL,19,29,6,18,25,1,51.027111123595944,-113.956969656038,7
105,FRANKLIN,18,32,4,72,30,9,51.058927460471864,-113.98752548998,7
106,GLAMORGAN,7,31,7,61,25,6,51.01552804933985,-114.152862596234,8
107,GLENBROOK,7,26,2,79,30,6,51.02420341312603,-114.152686529025,8
108,GLENDALE,3,18,2,17,8,0,51.03337804137393,-114.152740197664,1
109,GLENDEER BUSINESS PARK,1,3,0,4,0,1,50.99012200314093,-114.03205510999699,6
110,GLENMORE PARK,1,0,0,15,0,0,50.990480564408976,-114.131534859373,6
111,GOLDEN TRIANGLE,1,26,0,5,9,0,51.013362804604014,-113.985331011251,6
112,GREAT PLAINS,1,23,1,8,6,0,50.98691528648299,-113.939379189563,6
113,GREENVIEW,3,11,0,16,4,1,51.094862194320925,-114.057464648114,4
114,GREENVIEW INDUSTRIAL PARK,4,37,1,26,19,4,51.086515398489965,-114.049050973244,8
115,GREENWOOD/GREENBRIAR,3,3,0,2,0,0,51.08997086262798,-114.22284405368,1
116,HAMPTONS,2,31,0,18,6,1,51.145092839729,-114.14668419231302,1
117,HARVEST HILLS,3,23,2,48,20,2,51.14767758603091,-114.052777977324,4
118,HAWKWOOD,4,28,0,43,8,3,51.13097352339709,-114.175605232152,1
119,HAYSBORO,17,47,4,70,25,12,50.97221440431305,-114.083350894807,0
120,HIDDEN VALLEY,7,46,1,45,21,4,51.15193708420508,-114.11960923256198,8
121,HIGHFIELD,4,57,4,39,28,2,51.018294679421054,-114.03720097741298,8
122,HIGHLAND PARK,12,51,3,61,38,2,51.08802239558305,-114.062068985496,8
123,HIGHWOOD,1,24,1,30,10,2,51.092355774905,-114.07990104743999,1
124,HILLHURST,31,102,3,81,35,10,51.05726802831395,-114.093646376658,5
125,HORIZON,14,17,10,44,18,2,51.089901299573086,-113.99171186400399,7
126,HOUNSFIELD HEIGHTS/BRIAR HILL,12,36,1,42,18,6,51.06319785210991,-114.105728156306,8
127,HUNTINGTON HILLS,30,63,10,118,48,15,51.117582291839085,-114.066709443959,5
128,INGLEWOOD,7,61,3,82,19,3,51.03414052350487,-114.019119965195,8
129,KELVIN GROVE,15,21,0,35,12,4,50.98977222366294,-114.08902454242099,6
130,KILLARNEY/GLENGARRY,15,80,7,100,42,9,51.030129392795054,-114.131701908734,5
131,KINCORA,2,10,1,25,12,1,51.16026670748192,-114.132865129752,1
132,KINGSLAND,9,51,5,83,30,5,50.98688939290709,-114.077365201777,0
133,LAKE BONAVISTA,5,95,7,111,33,2,50.939809070435956,-114.051322869438,5
134,LAKEVIEW,3,25,0,39,8,1,50.999772943690026,-114.129633403832,6
135,LEGACY,2,9,0,8,4,1,50.85750722324714,-114.005827611116,6
136,LINCOLN PARK,5,21,2,29,8,9,51.01009069181303,-114.12955694059602,8
137,LIVINGSTON,0,1,0,0,0,0,51.1855040649499,-114.065506707483,4
138,LOWER MOUNT ROYAL,16,41,2,108,33,6,51.03648181086686,-114.086500314441,8
139,MACEWAN GLEN,7,13,2,16,13,2,51.137719036393,-114.11521349389,1
140,MAHOGANY,2,20,0,31,16,0,50.896071841271,-113.92443834256399,6
141,MANCHESTER,5,29,4,34,23,3,51.00623889050498,-114.066646759021,8
142,MANCHESTER INDUSTRIAL,34,125,13,86,70,6,51.01325709680807,-114.057266517276,2
143,MAPLE RIDGE,1,18,0,29,2,1,50.95763947437798,-114.034678452994,6
144,MARLBOROUGH,37,69,17,150,93,14,51.05954540129505,-113.96998802330802,2
145,MARLBOROUGH PARK,23,74,9,112,64,12,51.05969184952688,-113.946717348392,2
146,MARTINDALE,31,80,11,112,80,11,51.1179137259381,-113.958387117131,2
147,MAYFAIR,1,11,0,8,1,0,50.995804495657985,-114.088959066605,6
148,MAYLAND,5,10,0,10,8,1,51.052393406405,-114.01029661308299,4
149,MAYLAND HEIGHTS,11,37,3,101,40,6,51.06082771374106,-114.013325241169,7
150,MCCALL,1,28,1,26,13,2,51.08899753729994,-114.027096673406,4
151,MCKENZIE LAKE,3,35,2,88,31,5,50.91488084320795,-113.988181270218,0
152,MCKENZIE TOWNE,9,116,2,108,56,10,50.91715564522302,-113.961056765096,5
153,MEADOWLARK PARK,15,24,3,50,15,8,50.99782962994893,-114.077355421758,8
154,MERIDIAN,11,22,4,33,35,1,51.05658668369403,-113.996513423842,7
155,MIDNAPORE,1,40,1,84,28,5,50.91563847466387,-114.05761494838401,0
156,MILLRISE,7,24,1,33,13,4,50.91704529217809,-114.084903663845,6
157,MISSION,12,51,5,54,19,5,51.03315839542707,-114.06808323713899,8
158,MONTEREY PARK,4,38,1,40,41,4,51.081459464825,-113.92685104381499,7
159,MONTGOMERY,12,45,6,112,40,9,51.07110787892597,-114.162275611864,5
160,MOUNT PLEASANT,17,92,0,91,38,5,51.07423069637706,-114.076027846354,5
161,NEW BRIGHTON,5,26,1,63,23,3,50.922044539383975,-113.945316456834,0
162,NOLAN HILL,3,20,0,16,8,0,51.17545477193003,-114.166370978468,1
163,NORTH AIRWAYS,3,13,0,20,9,2,51.087142696651064,-114.007526044103,4
164,NORTH GLENMORE PARK,4,17,1,19,13,2,51.0014223765211,-114.112246566894,6
165,NORTH HAVEN,3,16,0,36,6,0,51.09594155155808,-114.089420575114,1
166,NORTH HAVEN UPPER,0,5,0,2,2,0,51.10440179087005,-114.085354303554,4
167,NOSE HILL PARK,0,0,0,15,0,1,51.11127714093488,-114.11069096475,1
168,OAKRIDGE,3,15,1,31,13,2,50.969739206709086,-114.129609099121,6
169,OGDEN,26,54,2,75,36,12,50.99209613135498,-114.012584731192,0
170,OGDEN SHOPS,1,5,0,3,4,2,50.99132888252992,-113.993241539047,6
171,PALLISER,2,17,0,20,3,3,50.96676468628598,-114.11215380042398,6
172,PANORAMA HILLS,4,56,2,77,18,7,51.1597110110759,-114.088063406263,8
173,PARKDALE,9,25,0,25,11,2,51.05994270233503,-114.13533705623999,1
174,PARKHILL,3,30,1,27,7,1,51.01817361313602,-114.065551835538,6
175,PARKLAND,4,20,0,20,5,0,50.92119720014001,-114.028539401913,6
176,PATTERSON,1,15,0,16,6,2,51.06383944197791,-114.177050063813,1
177,PEGASUS,0,1,1,5,2,0,51.094479425737084,-114.00649801893398,4
178,PENBROOKE MEADOWS,22,67,3,107,65,11,51.045865617281905,-113.947516195404,5
179,PINERIDGE,41,78,13,130,88,20,51.074259757627864,-113.94676495577198,2
180,POINT MCKAY,0,2,0,5,2,1,51.05954157614596,-114.146145979225,1
181,PUMP HILL,1,5,0,14,2,2,50.96682730463496,-114.100787615433,6
182,QUEENS PARK VILLAGE,5,0,0,1,0,0,51.085142935271136,-114.07760865369,4
183,QUEENSLAND,5,19,1,26,14,2,50.938220919477025,-114.022568260238,6
184,RAMSAY,6,20,1,26,10,2,51.03641116654691,-114.04253245854,6
185,RANCHLANDS,8,17,1,40,21,5,51.11915824143799,-114.18364347369601,1
186,RED CARPET,2,6,2,18,8,1,51.04251443668,-113.93877317698998,4
187,REDSTONE,1,4,1,5,6,1,51.1704461682522,-113.957794563222,4
188,RENFREW,8,81,1,141,24,1,51.0596584521481,-114.039175832326,5
189,RICHMOND,6,45,0,47,18,1,51.029705434694975,-114.118422468839,8
190,RIDEAU PARK,0,6,0,13,3,0,51.02487161915117,-114.074160532482,6
191,RIVERBEND,6,25,3,105,24,4,50.97597767010893,-114.01789266805,0
192,ROCKY RIDGE,2,29,0,52,19,2,51.14421495368811,-114.24589901587001,1
193,ROSEDALE,1,18,0,9,5,0,51.062712450882074,-114.078197287675,1
194,ROSEMONT,1,16,0,11,1,0,51.07839419932088,-114.090042964096,1
195,ROSSCARROCK,26,22,6,47,18,10,51.04327739256303,-114.145493740992,8
196,ROXBORO,0,3,0,6,0,1,51.02618614817001,-114.067632689909,6
197,ROYAL OAK,1,28,1,54,25,4,51.142705841683,-114.21992135149301,1
198,ROYAL VISTA,0,0,0,1,1,0,51.149464057036,-114.204207204917,1
199,RUNDLE,31,69,8,68,60,17,51.074239973669,-113.970058118649,2
200,RUTLAND PARK,1,7,0,13,16,1,51.01899179217816,-114.13736158459,1
201,SADDLE RIDGE,10,38,4,95,56,5,51.130573242134844,-113.945622522669,7
202,SADDLE RIDGE INDUSTRIAL,9,3,4,12,16,2,51.12518950614702,-113.975729682361,4
203,SAGE HILL,1,17,1,21,11,1,51.175676910514,-114.140750174548,1
204,SANDSTONE VALLEY,5,24,0,22,22,2,51.1377328448929,-114.094962509765,1
205,SCARBORO,0,12,0,9,8,1,51.040722505631,-114.107148836011,1
206,SCARBORO/ SUNALTA WEST,0,2,0,7,2,0,51.04219483282607,-114.1148587901,1
207,SCENIC ACRES,1,17,1,69,13,1,51.11266460946801,-114.217258259663,1
208,SECTION 23,0,12,0,1,1,1,50.97093554627702,-113.947804588884,6
209,SETON,9,0,0,3,3,3,50.87815510827797,-113.951983262373,6
210,SHAGANAPPI,13,10,3,26,5,2,51.04520482018895,-114.126642797077,1
211,SHAWNEE SLOPES,1,10,0,13,2,2,50.92618889834794,-114.08580303773802,6
212,SHAWNESSY,21,51,7,95,35,9,50.90330332947796,-114.073756821499,0
213,SHEPARD INDUSTRIAL,9,11,1,37,17,2,50.961483457792085,-113.992777567852,6
214,SHERWOOD,3,10,0,13,6,2,51.159989629829916,-114.152021658531,1
215,SIGNAL HILL,8,55,9,71,24,1,51.02286095741195,-114.179195894374,8
216,SILVER SPRINGS,7,26,0,57,21,4,51.10427008838388,-114.196279895291,1
217,SILVERADO,2,25,0,35,18,0,50.885075634965055,-114.071941914798,6
218,SKYLINE EAST,0,2,0,7,3,1,51.10015012382304,-114.03893128621398,4
219,SKYLINE WEST,2,1,0,1,1,0,51.1033304198396,-114.047392020085,4
220,SKYVIEW RANCH,4,46,0,39,25,8,51.156126734974116,-113.958374560746,7
221,SOMERSET,6,24,2,34,13,5,50.89869686344809,-114.08130751456902,0
222,SOUTH AIRWAYS,3,34,1,43,28,4,51.07421918868592,-114.005295675762,7
223,SOUTH CALGARY,5,47,2,71,23,2,51.02680703181486,-114.102069348471,8
224,SOUTH FOOTHILLS,0,48,0,8,10,2,50.971268833205926,-113.973642707649,6
225,SOUTHVIEW,21,18,4,48,21,3,51.03415568472206,-113.997338140443,7
226,SOUTHWOOD,25,40,6,96,35,11,50.95777356513106,-114.083200893081,0
227,SPRINGBANK HILL,3,46,0,49,11,3,51.02682412098812,-114.208458271936,1
228,SPRUCE CLIFF,5,22,0,22,9,3,51.048609671663904,-114.136282147874,1
229,ST. ANDREWS HEIGHTS,20,11,0,26,10,6,51.063906687036095,-114.12742928773501,1
230,STARFIELD,0,11,0,9,9,0,51.00143806430503,-113.939366366676,6
231,STONEGATE LANDING,1,1,0,0,0,0,51.1644685819905,-113.986682748038,4
232,STONEY 1,1,5,0,5,3,0,51.161187880607855,-114.02469848732402,4
233,STONEY 2,1,3,0,22,13,2,51.14338378225809,-114.017218214797,4
234,STONEY 4,0,2,0,0,2,0,51.17620448471408,-114.002757548674,4
235,STRATHCONA PARK,2,33,0,39,9,3,51.047403251082,-114.17757962941099,1
236,SUNALTA,23,62,5,81,40,11,51.042958639874094,-114.101467687736,5
237,SUNDANCE,2,25,2,36,16,2,50.9015551048631,-114.04204857668,6
238,SUNNYSIDE,3,54,3,52,16,2,51.0564192047929,-114.07902631006901,8
239,SUNRIDGE,70,37,10,76,52,18,51.07422159951711,-113.991700569993,2
240,TARADALE,15,55,7,85,61,8,51.11794016303892,-113.934002077973,7
241,TEMPLE,23,66,17,104,80,11,51.08879458509292,-113.94676773665898,2
242,THORNCLIFFE,20,75,12,101,51,7,51.10309955474104,-114.06877942116901,5
243,TUSCANY,5,67,2,103,25,4,51.121889851117,-114.24079065901302,8
244,TUXEDO PARK,13,54,3,90,38,8,51.07424524042207,-114.061044520077,5
245,UNIVERSITY HEIGHTS,3,17,0,16,8,2,51.07039131757593,-114.133076187082,1
246,UNIVERSITY OF CALGARY,10,14,0,50,18,5,51.075021044199055,-114.129913901737,1
247,UPPER MOUNT ROYAL,4,31,0,34,12,3,51.029967076464935,-114.08502788624101,8
248,VALLEY RIDGE,2,16,1,26,11,0,51.09537800378409,-114.251163893403,1
249,VALLEYFIELD,2,14,1,11,11,0,51.00908478648209,-114.001885391532,6
250,VARSITY,21,51,6,90,32,8,51.09600131323407,-114.162595259525,8
251,VISTA HEIGHTS,5,24,3,39,19,4,51.071932611219914,-114.017726360644,7
252,WALDEN,0,14,0,26,12,3,50.870406291791035,-114.03258961985,6
253,WEST HILLHURST,3,88,1,74,33,2,51.055058817012025,-114.115155739639,5
254,WEST SPRINGS,0,18,1,45,9,2,51.05971960915105,-114.206168211978,1
255,WESTGATE,0,17,0,23,6,0,51.044154718215985,-114.158443443507,1
256,WESTWINDS,11,13,5,35,29,12,51.10338458541903,-113.97004477872599,7
257,WHITEHORN,31,42,12,73,77,18,51.08877341271892,-113.970068163647,2
258,WILDWOOD,3,15,4,33,8,2,51.058257995027915,-114.158541417804,1
259,WILLOW PARK,18,44,5,78,26,5,50.95661926654897,-114.056201945188,0
260,WINDSOR PARK,3,40,0,49,16,2,51.0050457588949,-114.08355230578,8
261,WINSTON HEIGHTS/MOUNTVIEW,12,41,1,53,30,6,51.07532495780689,-114.04185548061001,8
262,WOODBINE,5,28,3,51,17,1,50.939610852215935,-114.129628653745,0
263,WOODLANDS,21,28,2,29,13,8,50.941119997755,-114.10634364849598,0
