,NGH_Name,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Latitude,Longitude,Preschool,Kindergarten,Gr7-9,Gr10-12,Post-Secondary,Homemaker,Employed 0-30,Employed 30+,Unemployed,Retired,Permanently Unemployed,Employment_No Response,Income_Less than $30K,Income_30K to less than 60K,Income_60K to less than 100K,Income_100K to less than 125K,Income_125K to less than 150K,Income_150K to less than 200K,Income_200K to less than 250K,Income_250K or more,Income_No Response
161,NORTH GLENORA,4,19,0,1,2,27,9,1,53.554941,-113.558265,109.0,147.0,29.0,50.0,60.0,51.0,113.0,692.0,49.0,186.0,12.0,417.0,66.0,105.0,143.0,65.0,56.0,58.0,16.0,21.0,273.0
162,NORTHMOUNT,27,22,0,3,1,38,30,0,53.603205,-113.479629,83.0,132.0,64.0,54.0,47.0,65.0,121.0,580.0,97.0,519.0,21.0,1409.0,65.0,125.0,129.0,57.0,24.0,25.0,7.0,3.0,866.0
163,OGILVIE RIDGE,0,2,0,1,0,4,1,0,53.464904,-113.56707,23.0,42.0,22.0,23.0,33.0,28.0,57.0,255.0,19.0,161.0,6.0,313.0,2.0,12.0,20.0,19.0,15.0,16.0,23.0,40.0,213.0
164,OLESKIW,0,8,0,1,0,12,4,0,53.49734,-113.608765,58.0,101.0,46.0,58.0,99.0,47.0,163.0,570.0,63.0,422.0,5.0,1170.0,9.0,28.0,63.0,57.0,50.0,60.0,42.0,93.0,688.0
165,OLIVER,127,118,0,36,16,196,75,5,53.541983,-113.52399399999999,215.0,136.0,44.0,45.0,658.0,156.0,667.0,5465.0,554.0,2343.0,204.0,7636.0,1413.0,1611.0,1505.0,537.0,277.0,231.0,91.0,120.0,6716.0
166,ORMSBY PLACE,13,22,0,6,1,41,19,0,53.499106,-113.642761,176.0,280.0,125.0,119.0,179.0,90.0,326.0,1433.0,185.0,392.0,45.0,2014.0,107.0,216.0,246.0,117.0,96.0,97.0,41.0,34.0,946.0
167,OTTEWELL,16,35,0,8,3,83,35,1,53.531285,-113.430746,194.0,231.0,112.0,136.0,151.0,114.0,319.0,1613.0,167.0,943.0,48.0,1701.0,200.0,314.0,361.0,181.0,135.0,132.0,45.0,33.0,1088.0
168,OVERLANDERS,14,7,0,0,3,39,17,0,53.581011,-113.388176,156.0,188.0,57.0,39.0,35.0,56.0,115.0,834.0,188.0,183.0,38.0,1048.0,129.0,207.0,192.0,60.0,38.0,20.0,3.0,7.0,571.0
169,OXFORD,1,10,0,1,1,20,16,0,53.622198,-113.547292,166.0,275.0,130.0,133.0,159.0,116.0,196.0,1327.0,126.0,388.0,23.0,999.0,24.0,116.0,230.0,138.0,95.0,91.0,24.0,26.0,589.0
170,OZERNA,4,8,1,1,2,20,2,1,53.622275,-113.449024,100.0,190.0,118.0,85.0,114.0,87.0,222.0,1056.0,121.0,332.0,37.0,1928.0,59.0,129.0,166.0,78.0,67.0,65.0,23.0,21.0,747.0
171,PARKALLEN,2,22,0,2,0,33,6,0,53.503096,-113.517461,85.0,127.0,51.0,33.0,132.0,35.0,139.0,683.0,41.0,204.0,12.0,832.0,52.0,127.0,147.0,73.0,52.0,47.0,28.0,27.0,500.0
172,PARKDALE,48,44,0,17,4,73,37,1,53.565716,-113.47135,97.0,104.0,44.0,35.0,92.0,82.0,150.0,774.0,126.0,270.0,77.0,1481.0,253.0,209.0,192.0,48.0,17.0,6.0,3.0,2.0,872.0
173,PARKVIEW,1,19,0,2,3,32,8,2,53.52406,-113.567914,130.0,209.0,87.0,87.0,126.0,83.0,241.0,1049.0,93.0,476.0,12.0,692.0,51.0,116.0,149.0,93.0,65.0,94.0,60.0,95.0,577.0
174,PATRICIA HEIGHTS,7,10,0,1,1,7,8,0,53.507564,-113.592293,96.0,137.0,45.0,34.0,67.0,41.0,83.0,531.0,52.0,162.0,8.0,469.0,15.0,47.0,65.0,34.0,23.0,36.0,17.0,19.0,411.0
175,PEMBINA,6,14,0,3,0,19,9,2,53.603168,-113.542845,21.0,17.0,6.0,3.0,8.0,8.0,11.0,208.0,21.0,90.0,3.0,127.0,7.0,15.0,41.0,37.0,7.0,3.0,1.0,2.0,153.0
176,PLEASANTVIEW,12,45,0,3,0,63,20,0,53.493176000000005,-113.507131,149.0,135.0,65.0,56.0,128.0,65.0,216.0,1119.0,146.0,605.0,28.0,1190.0,348.0,332.0,261.0,83.0,46.0,45.0,21.0,21.0,821.0
177,POLLARD MEADOWS,25,9,1,1,5,36,19,0,53.449115,-113.413032,251.0,315.0,108.0,101.0,79.0,211.0,145.0,1154.0,143.0,294.0,44.0,1725.0,134.0,269.0,202.0,75.0,30.0,21.0,5.0,1.0,836.0
178,POTTER GREENS,0,5,0,1,1,8,5,0,53.518279,-113.6726,33.0,73.0,48.0,57.0,66.0,28.0,96.0,503.0,31.0,322.0,4.0,229.0,9.0,51.0,73.0,43.0,46.0,53.0,26.0,23.0,242.0
179,PRINCE CHARLES,30,28,0,3,3,26,15,5,53.575635000000005,-113.536002,28.0,40.0,16.0,10.0,11.0,12.0,48.0,260.0,55.0,71.0,15.0,715.0,37.0,54.0,64.0,26.0,9.0,6.0,2.0,1.0,387.0
180,PRINCE RUPERT,20,29,0,9,2,41,18,3,53.564595000000004,-113.52411800000002,17.0,9.0,5.0,7.0,36.0,9.0,57.0,480.0,82.0,147.0,10.0,433.0,31.0,27.0,37.0,11.0,9.0,10.0,2.0,3.0,517.0
181,QUEEN ALEXANDRA,59,44,1,11,3,86,38,0,53.51222,-113.504812,111.0,103.0,40.0,39.0,367.0,40.0,275.0,1560.0,214.0,355.0,29.0,2025.0,365.0,465.0,427.0,175.0,85.0,72.0,21.0,19.0,1261.0
182,QUEEN MARY PARK,84,46,0,13,8,138,61,3,53.553321,-113.519654,230.0,164.0,57.0,44.0,332.0,96.0,356.0,1971.0,510.0,376.0,119.0,2691.0,587.0,488.0,294.0,92.0,55.0,43.0,10.0,11.0,2367.0
183,RAMSAY HEIGHTS,8,10,0,2,0,14,3,0,53.483368,-113.579034,182.0,222.0,108.0,91.0,171.0,101.0,184.0,1247.0,121.0,513.0,20.0,429.0,69.0,198.0,239.0,118.0,86.0,105.0,72.0,77.0,398.0
184,RAPPERSWILL,2,5,1,0,2,16,8,0,53.635411,-113.535029,94.0,97.0,36.0,28.0,28.0,25.0,61.0,453.0,32.0,30.0,2.0,1141.0,3.0,46.0,127.0,73.0,64.0,50.0,14.0,18.0,337.0
185,RHATIGAN RIDGE,2,5,0,1,1,4,2,0,53.474506000000005,-113.587569,94.0,280.0,94.0,92.0,165.0,126.0,195.0,1065.0,62.0,737.0,8.0,159.0,22.0,42.0,114.0,62.0,50.0,75.0,54.0,81.0,617.0
186,RICHFIELD,8,9,0,0,4,16,10,0,53.469484,-113.458618,215.0,340.0,186.0,133.0,117.0,166.0,224.0,934.0,169.0,298.0,37.0,501.0,72.0,82.0,100.0,30.0,24.0,12.0,3.0,1.0,805.0
187,RICHFORD,1,7,0,1,0,4,5,0,53.42727000000001,-113.507394,21.0,39.0,13.0,18.0,33.0,15.0,42.0,256.0,26.0,141.0,2.0,152.0,13.0,50.0,55.0,27.0,15.0,17.0,16.0,19.0,91.0
188,RIDEAU PARK,4,16,0,2,0,31,6,0,53.479032000000004,-113.505933,45.0,68.0,29.0,36.0,51.0,19.0,95.0,474.0,94.0,423.0,235.0,412.0,152.0,173.0,128.0,39.0,28.0,23.0,15.0,4.0,524.0
189,RIO TERRACE,3,6,0,0,0,3,3,0,53.507314,-113.584549,43.0,95.0,41.0,30.0,62.0,37.0,59.0,401.0,22.0,232.0,3.0,261.0,11.0,44.0,48.0,32.0,22.0,47.0,19.0,22.0,251.0
190,RITCHIE,17,59,0,6,2,68,27,3,53.513275,-113.482742,148.0,143.0,41.0,40.0,157.0,53.0,184.0,1698.0,177.0,377.0,47.0,914.0,208.0,346.0,378.0,170.0,120.0,88.0,41.0,43.0,654.0
191,RIVERDALE,9,23,0,4,1,37,3,0,53.544107,-113.469011,75.0,88.0,32.0,27.0,47.0,27.0,131.0,739.0,42.0,216.0,17.0,575.0,57.0,113.0,141.0,79.0,56.0,57.0,47.0,41.0,365.0
192,ROSENTHAL,2,11,0,0,0,12,5,0,53.519753,-113.70120999999999,52.0,49.0,22.0,22.0,24.0,10.0,38.0,260.0,17.0,32.0,1.0,934.0,7.0,31.0,91.0,48.0,24.0,36.0,5.0,2.0,288.0
193,ROSSDALE,2,8,0,3,0,8,2,0,53.533155,-113.495797,17.0,24.0,10.0,10.0,37.0,11.0,56.0,335.0,20.0,85.0,7.0,250.0,29.0,58.0,62.0,26.0,24.0,25.0,17.0,36.0,190.0
194,ROSSLYN,18,18,0,5,3,58,25,2,53.595758,-113.504287,97.0,194.0,56.0,57.0,42.0,68.0,180.0,806.0,210.0,721.0,43.0,501.0,251.0,185.0,185.0,99.0,42.0,10.0,6.0,1.0,522.0
195,ROYAL GARDENS,12,16,0,5,2,21,8,3,53.479419,-113.528055,126.0,184.0,94.0,95.0,125.0,58.0,170.0,855.0,141.0,371.0,24.0,1150.0,121.0,199.0,224.0,68.0,31.0,38.0,19.0,7.0,695.0
196,RUNDLE HEIGHTS,27,22,0,5,3,30,25,1,53.563221,-113.391922,93.0,151.0,99.0,51.0,42.0,90.0,107.0,849.0,140.0,282.0,62.0,1443.0,129.0,433.0,206.0,34.0,23.0,14.0,2.0,1.0,544.0
197,RURAL NORTH EAST HORSE HILL,16,4,0,0,2,0,1,1,53.678364,-113.312513,8.0,9.0,1.0,2.0,2.0,3.0,4.0,21.0,1.0,14.0,3.0,527.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,123.0
198,RURAL NORTH EAST SOUTH STURGEON,1,2,0,0,0,3,0,1,53.618981,-113.32351200000001,14.0,38.0,17.0,14.0,19.0,18.0,37.0,254.0,13.0,57.0,3.0,168.0,4.0,9.0,11.0,19.0,22.0,21.0,14.0,15.0,118.0
199,RUTHERFORD,6,36,0,0,1,45,10,1,53.416765,-113.529788,768.0,1006.0,300.0,231.0,332.0,367.0,524.0,3825.0,406.0,613.0,42.0,2429.0,130.0,368.0,621.0,334.0,255.0,273.0,99.0,77.0,1938.0
200,SAKAW,11,11,0,2,3,37,15,1,53.44198,-113.428828,165.0,297.0,149.0,133.0,97.0,118.0,232.0,1446.0,202.0,462.0,45.0,638.0,317.0,244.0,242.0,81.0,38.0,44.0,15.0,3.0,397.0
201,SATOO,14,18,0,2,1,26,6,0,53.446373,-113.458892,122.0,200.0,92.0,108.0,90.0,82.0,187.0,979.0,133.0,403.0,23.0,863.0,73.0,160.0,228.0,100.0,70.0,39.0,13.0,11.0,531.0
202,SCHONSEE,4,11,0,0,0,15,7,0,53.632362,-113.455146,199.0,275.0,97.0,87.0,87.0,105.0,154.0,1114.0,76.0,260.0,20.0,355.0,91.0,114.0,179.0,96.0,56.0,79.0,31.0,25.0,345.0
203,SECORD,3,14,0,1,1,17,14,1,53.533862,-113.70135200000001,238.0,204.0,62.0,42.0,31.0,271.0,103.0,1249.0,77.0,44.0,2.0,848.0,9.0,357.0,128.0,96.0,59.0,90.0,24.0,11.0,356.0
204,SHERBROOKE,13,17,1,0,3,33,16,0,53.575663,-113.54728600000001,96.0,127.0,49.0,32.0,57.0,55.0,113.0,801.0,81.0,238.0,31.0,913.0,61.0,106.0,116.0,52.0,28.0,23.0,6.0,4.0,670.0
205,SHERWOOD,13,7,0,4,0,18,10,1,53.529102,-113.584145,53.0,52.0,14.0,22.0,21.0,9.0,54.0,316.0,51.0,124.0,12.0,610.0,42.0,96.0,90.0,41.0,32.0,22.0,3.0,1.0,310.0
206,SIFTON PARK,7,11,0,0,0,24,13,0,53.594525,-113.408402,66.0,95.0,30.0,21.0,25.0,26.0,59.0,337.0,85.0,110.0,28.0,1182.0,40.0,33.0,54.0,12.0,9.0,7.0,2.0,1.0,646.0
207,SILVER BERRY,22,31,0,1,2,59,28,1,53.461159,-113.381406,300.0,464.0,165.0,126.0,117.0,167.0,226.0,1631.0,207.0,186.0,30.0,5382.0,40.0,163.0,277.0,202.0,92.0,61.0,19.0,13.0,1646.0
208,SKYRATTLER,3,5,0,0,0,13,2,0,53.45033,-113.522873,100.0,108.0,30.0,36.0,90.0,48.0,119.0,779.0,104.0,212.0,15.0,440.0,94.0,222.0,232.0,73.0,32.0,34.0,12.0,6.0,393.0
209,SOUTH TERWILLEGAR,12,11,0,1,0,29,6,2,53.440247,-113.57902399999999,557.0,631.0,211.0,167.0,231.0,232.0,375.0,2783.0,227.0,317.0,20.0,2826.0,95.0,262.0,475.0,249.0,196.0,187.0,71.0,53.0,1838.0
210,SPRUCE AVENUE,71,40,0,16,9,82,33,7,53.564635,-113.499502,30.0,29.0,14.0,19.0,54.0,21.0,65.0,288.0,62.0,105.0,22.0,1173.0,92.0,98.0,62.0,21.0,14.0,14.0,5.0,2.0,449.0
211,STEINHAUER,3,8,0,1,2,30,13,0,53.464529000000006,-113.505938,89.0,139.0,77.0,72.0,115.0,65.0,131.0,670.0,93.0,332.0,20.0,324.0,35.0,81.0,95.0,60.0,38.0,33.0,16.0,14.0,403.0
212,STRATHCONA,97,95,0,30,6,124,54,2,53.52239,-113.490986,205.0,166.0,70.0,69.0,494.0,123.0,490.0,2787.0,290.0,627.0,58.0,3594.0,488.0,651.0,664.0,290.0,149.0,147.0,76.0,92.0,2748.0
213,STRATHEARN,4,17,0,2,1,28,7,1,53.531292,-113.464047,68.0,58.0,17.0,17.0,43.0,24.0,116.0,662.0,62.0,462.0,20.0,1093.0,250.0,153.0,96.0,54.0,34.0,36.0,16.0,26.0,815.0
214,SUDER GREENS,2,23,0,2,0,23,9,0,53.524586,-113.677276,199.0,282.0,93.0,78.0,87.0,65.0,173.0,1179.0,107.0,207.0,17.0,793.0,31.0,137.0,201.0,122.0,80.0,82.0,38.0,27.0,449.0
215,SUMMERLEA,61,15,0,8,11,93,59,8,53.525627,-113.622633,51.0,73.0,36.0,48.0,52.0,38.0,97.0,592.0,82.0,314.0,33.0,615.0,94.0,194.0,157.0,42.0,36.0,23.0,12.0,4.0,354.0
216,SUMMERSIDE,30,44,0,2,3,74,22,2,53.417528,-113.461227,967.0,1157.0,348.0,273.0,307.0,398.0,491.0,4517.0,368.0,354.0,41.0,4139.0,82.0,332.0,735.0,498.0,355.0,393.0,133.0,130.0,1833.0
217,SWEET GRASS,2,9,0,1,1,19,4,0,53.464316,-113.527569,89.0,163.0,98.0,60.0,101.0,72.0,103.0,765.0,75.0,298.0,12.0,841.0,42.0,182.0,212.0,58.0,31.0,34.0,10.0,13.0,479.0
218,TAMARACK,18,18,0,2,2,27,11,3,53.46481099999999,-113.359165,352.0,380.0,125.0,90.0,87.0,134.0,154.0,1325.0,135.0,101.0,8.0,1686.0,103.0,242.0,293.0,129.0,64.0,69.0,28.0,12.0,498.0
219,TAWA,35,5,0,1,5,14,7,0,53.461933,-113.427712,67.0,77.0,36.0,34.0,30.0,38.0,96.0,540.0,68.0,340.0,17.0,689.0,91.0,166.0,146.0,35.0,22.0,17.0,2.0,1.0,456.0
220,TERRA LOSA,12,16,0,3,1,34,13,0,53.533293,-113.622178,51.0,51.0,20.0,16.0,38.0,38.0,104.0,604.0,79.0,582.0,32.0,608.0,158.0,265.0,198.0,62.0,23.0,22.0,7.0,2.0,565.0
221,TERRACE HEIGHTS,21,30,0,3,1,48,11,0,53.542081,-113.437801,60.0,67.0,28.0,23.0,44.0,21.0,69.0,503.0,77.0,245.0,37.0,1250.0,111.0,118.0,99.0,42.0,32.0,40.0,15.0,7.0,684.0
222,TERWILLEGAR TOWNE,2,11,0,4,0,26,8,2,53.45067,-113.577738,286.0,533.0,239.0,179.0,201.0,178.0,286.0,1830.0,100.0,555.0,18.0,1779.0,52.0,147.0,265.0,175.0,135.0,154.0,73.0,86.0,1179.0
223,THE HAMPTONS,11,28,0,3,2,50,17,2,53.487386,-113.675687,873.0,1100.0,353.0,249.0,238.0,389.0,562.0,4177.0,292.0,273.0,23.0,3031.0,67.0,327.0,695.0,491.0,287.0,309.0,126.0,61.0,1640.0
224,THE ORCHARDS AT ELLERSLIE,0,7,0,0,1,10,5,2,53.403087,-113.458166,129.0,76.0,29.0,18.0,14.0,40.0,57.0,485.0,27.0,21.0,1.0,1166.0,6.0,53.0,158.0,89.0,73.0,55.0,23.0,10.0,287.0
225,THORNCLIFF,21,14,0,9,1,42,20,1,53.516698,-113.62282799999998,137.0,203.0,94.0,75.0,67.0,70.0,146.0,967.0,137.0,258.0,51.0,1349.0,45.0,96.0,84.0,32.0,27.0,14.0,6.0,5.0,956.0
226,TIPASKAN,13,13,0,3,2,23,12,2,53.461895000000005,-113.458,178.0,261.0,99.0,83.0,90.0,96.0,163.0,929.0,189.0,227.0,39.0,606.0,163.0,204.0,184.0,54.0,43.0,18.0,9.0,9.0,324.0
227,TRUMPETER AREA,0,7,0,0,0,5,1,0,53.590903,-113.676605,93.0,63.0,15.0,11.0,9.0,40.0,36.0,433.0,17.0,34.0,5.0,300.0,2.0,20.0,85.0,47.0,47.0,65.0,32.0,25.0,101.0
228,TWEDDLE PLACE,7,15,0,1,4,14,7,1,53.47837,-113.45916,116.0,212.0,66.0,52.0,62.0,52.0,108.0,472.0,82.0,252.0,18.0,1792.0,43.0,98.0,93.0,40.0,29.0,24.0,4.0,1.0,773.0
229,TWIN BROOKS,5,4,0,0,0,38,5,1,53.444689,-113.531497,186.0,343.0,238.0,239.0,323.0,211.0,392.0,2015.0,163.0,892.0,25.0,1238.0,73.0,198.0,316.0,201.0,151.0,200.0,91.0,105.0,903.0
230,VIRGINIA PARK,1,9,0,0,1,18,6,0,53.560888,-113.450297,14.0,15.0,8.0,6.0,18.0,6.0,22.0,133.0,23.0,259.0,2.0,225.0,204.0,26.0,22.0,10.0,5.0,10.0,3.0,1.0,138.0
231,WALKER,16,19,0,0,0,37,8,2,53.417651,-113.43043499999999,659.0,680.0,233.0,164.0,194.0,241.0,403.0,3052.0,531.0,177.0,12.0,1200.0,88.0,503.0,547.0,235.0,121.0,115.0,37.0,20.0,887.0
232,WEBBER GREENS,0,10,0,3,0,8,2,0,53.53031,-113.676608,99.0,111.0,56.0,49.0,43.0,40.0,67.0,526.0,39.0,34.0,7.0,1200.0,11.0,26.0,71.0,41.0,44.0,42.0,11.0,6.0,432.0
233,WEDGEWOOD HEIGHTS,1,2,0,0,0,3,1,0,53.478714000000004,-113.64658,25.0,46.0,22.0,41.0,69.0,42.0,83.0,338.0,33.0,161.0,5.0,566.0,8.0,27.0,38.0,29.0,30.0,44.0,23.0,49.0,254.0
234,WEINLOS,8,9,0,5,5,20,8,0,53.459907,-113.413836,80.0,131.0,90.0,77.0,74.0,85.0,139.0,916.0,104.0,294.0,43.0,1275.0,28.0,100.0,102.0,42.0,17.0,26.0,6.0,5.0,839.0
235,WELLINGTON,24,23,0,2,3,43,17,2,53.595833,-113.55269500000001,111.0,188.0,70.0,72.0,57.0,70.0,131.0,834.0,151.0,386.0,39.0,1021.0,101.0,181.0,197.0,51.0,31.0,23.0,4.0,2.0,590.0
236,WEST JASPER PLACE,47,29,0,10,5,41,31,4,53.53663,-113.58414400000001,85.0,80.0,32.0,38.0,41.0,89.0,139.0,770.0,148.0,268.0,40.0,1338.0,169.0,309.0,83.0,27.0,22.0,14.0,7.0,4.0,839.0
237,WESTBROOK ESTATES,2,6,0,0,0,15,5,1,53.468213,-113.544452,19.0,70.0,41.0,16.0,44.0,47.0,55.0,264.0,30.0,162.0,3.0,330.0,17.0,31.0,32.0,12.0,11.0,16.0,18.0,49.0,296.0
238,WESTMOUNT,41,76,0,6,5,97,33,2,53.549995,-113.539976,226.0,240.0,88.0,76.0,194.0,82.0,308.0,2185.0,200.0,467.0,79.0,1742.0,233.0,378.0,388.0,172.0,132.0,126.0,84.0,91.0,1448.0
239,WESTRIDGE,2,4,0,0,0,6,1,0,53.505622,-113.601372,41.0,94.0,47.0,31.0,59.0,39.0,105.0,372.0,15.0,233.0,6.0,313.0,6.0,10.0,40.0,35.0,23.0,33.0,30.0,42.0,266.0
240,WESTWOOD,43,34,0,7,6,53,48,1,53.575942,-113.498585,61.0,58.0,15.0,5.0,99.0,39.0,154.0,780.0,271.0,188.0,101.0,1346.0,381.0,321.0,124.0,36.0,22.0,14.0,2.0,3.0,924.0
241,WILD ROSE,14,15,0,2,2,46,24,1,53.470564,-113.38116699999999,293.0,552.0,309.0,260.0,275.0,220.0,422.0,2415.0,288.0,509.0,50.0,3020.0,32.0,198.0,273.0,125.0,100.0,96.0,34.0,18.0,1564.0
242,WINDERMERE,7,22,0,3,1,31,6,4,53.432563,-113.62600799999998,530.0,430.0,149.0,118.0,134.0,196.0,235.0,2254.0,160.0,281.0,23.0,3618.0,37.0,144.0,271.0,137.0,151.0,150.0,74.0,145.0,2027.0
243,WOODCROFT,30,22,0,13,4,40,20,4,53.564595,-113.558327,76.0,88.0,40.0,35.0,56.0,30.0,96.0,522.0,63.0,579.0,36.0,523.0,214.0,121.0,107.0,32.0,24.0,29.0,6.0,5.0,642.0
244,YORK,24,21,0,4,2,48,17,4,53.602843,-113.43021200000001,180.0,237.0,122.0,113.0,98.0,106.0,187.0,1248.0,207.0,497.0,63.0,843.0,148.0,297.0,271.0,103.0,65.0,42.0,14.0,5.0,510.0
